Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Energy,Asia,Australia,2005,280.73,417.49,42.94,140.94,47.93,8.64,123.61,18382.29,96.6,43.95,-2.9,6.52
Construction,South America,India,2011,56.44,219.5,18.38,77.4,10.82,10.14,291.36,4479.41,27.59,12.95,10.34,7.67
Manufacturing,North America,South Africa,2007,90.98,531.17,21.27,13.19,12.8,14.38,27.78,7842.84,50.54,41.73,-7.15,3.44
Construction,South America,Canada,2005,151.7,24.5,98.79,194.99,6.4,3.23,940.84,16654.66,56.36,66.52,-2.99,-3.15
Manufacturing,Oceania,South Africa,2014,143.47,741.21,92.94,30.25,3.85,13.74,64.3,20277.29,73.48,45.38,1.46,-4.49
Manufacturing,North America,South Africa,2018,120.39,522.53,32.31,97.72,23.25,2.0,1303.22,18317.56,21.99,50.96,-0.74,-4.06
Mining,Oceania,Canada,2013,94.66,946.73,34.38,54.49,31.76,7.72,942.27,7001.56,85.02,29.49,13.4,-0.63
Mining,Africa,USA,2002,44.58,103.24,29.28,26.56,19.7,12.41,166.04,12985.96,48.9,94.5,-1.4,-2.21
Manufacturing,Africa,Germany,2017,246.37,732.43,88.23,102.61,27.65,2.9,121.19,7872.49,98.31,23.68,-0.33,1.4
Mining,North America,Canada,2009,134.91,301.3,9.92,39.26,20.13,13.39,442.32,11567.89,39.67,4.12,-5.63,-4.61
Manufacturing,South America,Australia,2013,172.1,373.46,58.45,72.22,2.34,19.09,485.65,15347.04,41.81,74.28,13.19,8.0
Energy,Oceania,USA,2013,164.19,348.81,18.71,121.34,8.79,19.14,206.59,1464.41,76.9,90.2,14.68,8.29
Mining,Oceania,Canada,2021,172.86,358.34,75.84,77.43,13.47,11.76,256.47,23944.31,97.13,26.44,-4.51,-2.57
Mining,Europe,China,2006,211.6,431.12,63.17,103.94,31.78,10.42,1008.61,13703.64,70.72,45.14,5.73,-3.1
Mining,Oceania,Canada,2006,189.0,21.49,38.85,46.48,43.27,8.77,726.39,11051.55,71.04,32.92,13.61,-3.45
Energy,South America,India,2020,82.53,846.83,9.9,139.23,9.18,9.17,880.57,11933.68,99.01,84.06,-0.46,8.51
Manufacturing,Europe,Canada,2021,166.34,881.86,76.76,126.95,11.39,11.39,1079.77,20864.85,29.01,32.11,-5.78,8.31
Construction,South America,South Africa,2022,73.73,40.04,7.8,138.62,35.79,8.75,1211.69,2953.14,26.93,7.14,-4.25,4.61
Mining,Asia,USA,2010,176.86,776.12,27.45,68.02,47.81,8.58,350.27,22633.58,72.59,70.22,12.49,-3.25
Manufacturing,Oceania,Australia,2017,129.86,72.74,25.44,188.1,17.71,5.84,1141.2,5799.72,29.81,91.79,-2.86,8.49
Energy,Asia,Brazil,2009,12.31,807.91,57.89,124.84,16.08,13.59,149.72,17270.6,28.0,84.41,9.89,6.69
Construction,Africa,Australia,2014,220.33,613.18,51.42,25.53,18.13,17.47,81.26,13911.87,58.04,56.59,0.17,-4.43
Mining,Africa,South Africa,2011,82.76,306.7,28.05,195.02,8.59,0.77,763.07,19081.53,96.89,45.74,10.14,7.89
Energy,North America,Australia,2022,276.1,614.08,43.09,113.82,24.66,19.28,1087.04,3813.66,72.44,15.72,-0.63,-2.31
Energy,Oceania,USA,2016,84.53,506.89,43.69,139.71,27.22,14.51,1448.37,20421.47,32.53,33.75,10.03,7.63
Construction,Europe,Brazil,2021,298.99,635.94,57.4,74.51,7.95,0.29,639.44,16261.7,56.09,51.25,-7.33,7.67
Manufacturing,Asia,Canada,2016,139.15,475.63,89.83,88.51,11.27,2.09,624.78,19465.99,69.53,2.11,2.82,2.92
Mining,South America,USA,2000,8.41,772.99,14.28,146.52,10.18,18.67,899.15,12209.4,82.02,10.38,2.32,-0.73
Mining,Oceania,Canada,2005,23.34,45.75,55.81,173.08,30.33,13.45,1403.18,20696.67,84.25,55.38,6.74,4.75
Manufacturing,North America,USA,2020,25.09,344.61,1.94,192.1,35.61,1.31,1029.29,19464.35,52.79,33.3,-0.67,5.58
Manufacturing,South America,Canada,2014,17.34,559.51,69.85,198.0,15.35,6.82,1208.41,4217.81,67.61,32.6,-6.58,8.57
Manufacturing,Asia,South Africa,2018,80.7,588.45,64.08,119.09,38.29,17.7,778.06,24169.05,53.79,46.73,-3.84,7.62
Construction,Oceania,Canada,2013,97.71,169.96,69.43,17.58,45.47,17.13,1023.6,24293.84,27.2,21.43,7.21,-4.36
Construction,Asia,USA,2009,33.83,74.99,47.55,115.73,25.96,3.89,179.35,24574.78,47.4,18.96,12.87,6.71
Mining,Oceania,China,2009,131.72,21.47,18.77,40.96,45.49,8.52,687.89,2464.65,77.61,16.1,4.35,-3.75
Construction,Oceania,Australia,2022,109.92,413.31,44.86,129.7,31.35,15.08,1309.94,18699.99,40.39,60.17,-0.6,8.21
Energy,Asia,Brazil,2006,191.08,330.72,2.46,67.2,9.86,13.76,244.65,15999.54,98.68,0.85,-6.73,-4.28
Mining,Asia,Canada,2006,59.16,568.02,38.21,104.48,12.92,2.08,1186.12,24379.15,52.41,32.82,-5.79,9.35
Construction,South America,India,2013,274.24,449.79,83.87,132.22,29.55,11.95,1383.24,15226.47,25.79,90.26,-0.49,9.39
Manufacturing,North America,Germany,2014,155.04,394.37,33.92,181.67,11.33,0.6,1376.87,17110.47,53.92,93.76,-9.43,3.61
Energy,Asia,Australia,2021,187.31,843.4,59.22,158.57,0.29,7.29,1450.69,1346.61,30.86,20.91,-2.33,4.77
Manufacturing,Africa,South Africa,2019,12.34,621.71,26.19,4.32,13.07,10.4,265.45,8178.7,98.17,5.19,4.4,5.44
Mining,North America,Brazil,2008,167.95,646.28,13.51,30.69,2.67,0.96,1395.3,15781.96,83.43,12.27,-0.56,6.0
Manufacturing,Africa,China,2014,110.75,382.14,52.14,173.76,44.9,16.9,1058.12,7496.09,85.8,48.27,8.98,1.53
Construction,South America,Brazil,2008,277.29,776.96,3.67,148.67,34.37,8.32,1498.71,10731.83,22.97,42.44,6.29,0.3
Construction,Asia,India,2022,265.75,152.51,90.46,29.66,1.57,8.17,1403.07,21351.49,35.03,59.25,12.85,3.3
Mining,North America,South Africa,2006,191.48,402.3,77.74,117.82,2.51,2.28,1013.09,24235.85,49.85,97.58,-3.29,-2.54
Manufacturing,Asia,Brazil,2010,230.47,47.65,99.79,117.56,1.54,9.55,1367.13,24516.31,84.09,80.28,7.49,8.52
Mining,Oceania,Australia,2004,193.56,115.88,99.32,155.01,39.86,1.83,399.96,12611.51,70.82,7.53,13.6,4.28
Manufacturing,Asia,China,2008,5.58,81.99,72.93,162.7,39.32,3.12,1195.07,11551.47,48.14,12.78,2.53,9.31
Energy,North America,South Africa,2005,211.09,441.72,77.69,134.83,36.91,16.71,788.58,10823.94,60.07,18.59,1.75,1.47
Construction,Asia,China,2006,53.54,697.48,52.86,142.67,7.6,13.68,1201.23,53.23,88.44,25.07,-5.18,3.53
Mining,Asia,South Africa,2022,204.93,313.04,21.93,133.37,49.33,11.96,1348.78,15475.02,90.38,4.89,1.6,-3.29
Energy,Europe,Germany,2022,3.65,27.1,80.86,30.28,42.29,10.2,1069.25,1516.34,33.4,83.92,3.72,-2.19
Energy,Europe,India,2013,93.62,707.35,27.04,136.94,32.18,9.51,830.25,22918.08,68.78,90.15,-3.66,-3.77
Mining,North America,Germany,2018,155.32,207.83,65.03,94.28,34.04,19.03,50.43,8271.62,72.29,54.73,14.12,5.34
Mining,North America,Australia,2021,100.28,722.81,73.11,195.56,19.26,19.82,797.47,12832.12,27.23,89.94,6.18,5.51
Energy,Oceania,Australia,2021,208.35,7.85,56.47,141.8,28.57,7.76,282.5,22608.98,27.1,89.2,6.95,6.82
Manufacturing,Oceania,Australia,2010,157.05,312.69,66.31,74.89,17.3,0.37,1302.84,17682.04,79.93,30.31,6.13,6.41
Energy,Asia,USA,2006,287.92,621.42,29.36,182.02,35.75,18.21,970.74,3192.48,51.41,44.8,-0.72,9.18
Mining,Africa,Australia,2005,107.66,871.22,76.08,46.15,16.86,6.47,370.55,17310.18,54.08,21.31,-7.22,-1.72
Energy,North America,China,2003,216.7,754.25,94.36,93.54,47.54,18.48,591.49,14890.5,76.68,99.3,11.45,-3.39
Manufacturing,Asia,Germany,2013,250.83,449.89,48.45,12.82,48.39,10.71,481.27,19681.43,93.33,58.29,-7.92,8.44
Construction,Africa,China,2021,76.46,718.66,12.19,125.78,12.73,19.29,1385.43,2044.25,50.28,74.19,7.57,-1.49
Construction,Europe,South Africa,2002,226.36,537.77,62.01,111.75,41.19,10.3,1411.09,23980.6,81.79,95.62,4.51,6.71
Energy,Oceania,Canada,2016,118.3,813.49,34.21,100.94,5.15,8.67,1258.92,1558.84,38.62,5.43,0.88,9.17
Manufacturing,North America,China,2014,39.05,772.18,41.97,41.41,12.91,18.45,498.69,11697.91,53.05,38.3,10.25,0.71
Construction,Asia,USA,2000,1.59,975.86,15.25,98.93,13.25,14.42,1136.9,17267.05,23.99,37.61,13.61,2.28
Energy,Europe,China,2020,223.26,105.39,62.62,91.89,31.18,16.86,879.99,18059.67,92.48,46.76,2.18,-1.64
Energy,South America,South Africa,2010,56.28,341.03,78.75,4.47,45.93,1.61,478.1,6609.11,99.75,24.93,8.35,3.89
Manufacturing,Europe,Canada,2012,15.83,192.78,76.67,32.56,14.91,12.3,1394.14,16031.45,77.53,22.9,-0.13,-2.78
Mining,Asia,South Africa,2002,149.41,630.95,99.39,180.39,21.32,13.39,676.91,1298.03,95.1,66.04,-2.97,-4.83
Energy,Oceania,Germany,2012,104.34,664.2,21.3,157.81,19.56,2.75,377.14,8624.97,48.76,75.65,9.92,8.41
Mining,Africa,Australia,2017,207.7,204.21,91.42,24.07,19.08,6.07,337.5,23343.47,76.21,20.01,9.5,-0.85
Mining,South America,India,2008,32.66,421.84,73.29,194.55,28.86,17.84,970.99,11455.79,24.24,51.9,4.9,-2.41
Construction,South America,Brazil,2001,40.23,602.35,70.78,93.12,33.7,4.67,974.65,21393.86,58.56,4.06,14.94,6.63
Mining,Oceania,Canada,2007,121.53,659.12,68.41,150.03,19.96,15.6,1414.6,3648.75,84.74,45.33,-2.85,3.42
Manufacturing,South America,Germany,2001,156.36,103.1,53.88,108.4,40.35,0.6,172.17,11390.62,24.0,39.49,1.09,0.23
Construction,North America,Canada,2022,247.35,921.11,37.93,152.89,29.44,3.71,284.6,15266.54,34.16,46.44,13.16,2.79
Construction,Asia,USA,2000,175.89,34.57,94.34,132.52,13.66,1.13,326.26,7774.14,43.98,8.05,14.25,-2.98
Construction,South America,Brazil,2002,270.83,972.96,15.19,13.12,18.64,8.2,583.15,24483.47,90.23,45.93,7.43,7.97
Energy,Europe,China,2016,65.72,316.67,17.68,182.72,48.19,4.14,773.5,12729.57,23.08,79.74,-5.83,-1.23
Energy,Africa,Germany,2006,179.07,316.69,1.77,153.71,30.17,5.28,690.21,6937.36,52.29,61.56,-2.58,4.26
Mining,Asia,Brazil,2009,196.74,446.3,73.96,44.4,25.09,10.17,1381.3,16576.66,30.56,46.37,0.95,5.29
Construction,Oceania,Australia,2018,217.88,695.11,89.41,45.35,12.43,10.41,1021.86,21151.7,20.47,66.24,3.4,-3.19
Construction,Europe,Australia,2008,296.6,160.02,18.69,137.36,26.7,4.34,1205.06,8112.67,68.52,9.52,4.07,-4.89
Manufacturing,North America,Germany,2017,140.68,255.36,3.54,140.22,4.17,17.03,1274.68,11295.77,71.19,3.18,-0.2,3.5
Mining,South America,Australia,2014,111.11,961.59,24.49,17.5,20.06,6.78,778.18,23677.4,96.77,90.06,-3.51,1.15
Manufacturing,Europe,China,2016,255.74,876.9,88.38,181.02,43.34,7.64,930.76,3424.23,66.95,97.37,-0.06,9.84
Mining,Asia,South Africa,2021,53.45,212.79,1.72,149.41,21.65,17.93,476.1,4780.54,72.86,83.12,5.5,3.82
Mining,Europe,Germany,2016,11.59,573.22,10.21,196.81,42.11,8.67,1143.74,24965.28,67.77,34.81,13.97,8.48
Energy,North America,USA,2018,133.35,204.0,2.6,86.6,2.1,4.4,987.87,10961.9,47.29,68.58,-6.9,2.07
Energy,Africa,Brazil,2008,74.54,550.29,94.32,17.34,7.01,1.81,798.95,13976.33,30.78,29.48,-3.3,4.28
Manufacturing,South America,Brazil,2005,119.26,366.09,13.64,181.14,36.7,13.35,359.64,12860.8,34.06,6.62,10.22,2.85
Mining,Asia,Brazil,2018,295.83,362.74,90.05,162.59,37.25,3.92,1323.06,15773.81,92.14,39.31,3.84,-0.88
Construction,South America,Germany,2007,104.87,635.25,47.4,0.14,32.33,15.95,416.79,11182.6,60.99,1.75,-7.23,-1.09
Energy,South America,China,2005,212.54,252.21,39.55,106.05,46.07,17.88,749.01,8802.79,81.08,20.15,-2.19,7.74
Construction,Oceania,Germany,2016,75.5,404.56,42.71,1.59,26.44,10.22,1061.83,9356.77,41.71,3.77,-0.27,5.1
Manufacturing,South America,Germany,2005,91.38,925.3,41.93,70.37,36.36,11.72,270.01,15528.6,95.35,56.88,3.88,5.2
Energy,Europe,Australia,2012,73.32,755.49,34.24,173.9,13.65,1.59,1382.02,10827.88,72.27,69.61,13.69,3.84
Energy,Europe,South Africa,2020,171.86,383.59,81.1,134.79,30.75,13.22,176.0,10533.26,94.86,67.56,8.05,0.27
Mining,Africa,Brazil,2001,68.22,230.65,50.85,170.14,38.7,18.27,1126.72,8098.22,39.02,32.81,5.58,2.53
Manufacturing,North America,China,2011,215.65,659.18,99.1,111.48,34.91,0.12,1275.01,20621.42,35.67,9.08,4.94,0.19
Mining,Asia,India,2006,204.24,807.79,51.83,154.85,40.46,4.4,961.9,4072.8,51.0,53.32,-5.52,-1.11
Energy,Europe,Canada,2005,126.67,860.83,81.87,97.29,20.21,6.67,129.61,15126.25,96.14,3.39,14.66,3.99
Manufacturing,South America,China,2016,8.16,564.5,74.54,100.61,14.21,16.38,88.62,24300.28,81.13,29.3,7.71,-3.1
Energy,North America,Australia,2007,7.28,517.04,40.17,119.64,13.85,2.24,1110.59,4850.35,85.1,75.66,4.5,1.16
Manufacturing,Asia,Germany,2005,160.08,719.78,78.88,28.21,40.22,8.89,1038.02,10430.32,95.31,64.18,0.86,9.14
Energy,Asia,USA,2018,251.84,176.18,15.58,128.72,42.72,3.79,1448.52,17946.49,40.53,8.08,8.49,9.56
Construction,Asia,China,2020,179.86,852.21,20.41,171.15,10.49,18.26,1275.64,10769.19,95.3,98.2,-6.36,3.62
Construction,Asia,Brazil,2022,130.98,74.39,61.93,31.99,18.66,4.27,109.2,253.79,65.56,46.63,3.06,7.49
Mining,Africa,USA,2008,264.69,603.22,71.19,75.43,46.03,6.3,572.52,17699.19,83.25,62.66,-7.89,-2.26
Construction,Asia,India,2019,59.5,589.9,64.42,184.07,0.79,11.09,906.63,17932.97,90.95,85.31,13.38,8.01
Energy,North America,India,2015,108.15,311.05,50.99,62.35,17.45,1.71,157.07,18858.98,54.25,54.65,14.94,1.59
Energy,Europe,Canada,2017,169.81,35.95,13.85,175.05,30.73,8.61,358.73,12741.71,36.51,29.0,0.31,4.51
Construction,North America,USA,2018,87.86,718.0,37.34,128.28,7.44,6.34,216.16,7582.45,69.87,91.88,-1.04,-4.2
Mining,South America,Australia,2006,299.31,24.66,60.53,168.7,34.3,17.4,903.94,19510.42,25.35,79.88,-4.99,0.49
Construction,Oceania,India,2007,135.97,180.02,22.68,28.63,14.69,15.93,1062.52,6677.15,73.11,78.28,11.42,-0.54
Manufacturing,Africa,USA,2020,15.99,544.46,63.82,157.43,47.15,18.54,274.34,5043.57,82.92,16.99,10.62,-0.5
Manufacturing,Africa,Germany,2018,53.24,940.01,23.5,6.04,3.82,5.64,1289.86,6683.01,86.32,91.96,-1.37,-2.94
Manufacturing,South America,USA,2000,159.98,66.4,9.88,78.98,43.35,16.31,432.59,6355.94,53.88,13.29,-6.39,5.15
Construction,North America,Germany,2012,165.24,579.0,32.5,56.03,30.08,16.45,1296.09,8715.46,32.76,20.94,-8.79,3.47
Construction,North America,Canada,2000,295.25,329.23,27.35,128.27,31.0,2.4,989.31,24846.23,31.71,98.09,6.59,3.46
Construction,South America,Australia,2010,180.19,669.58,81.06,152.95,0.89,10.06,1042.29,2703.06,45.29,64.94,11.68,-1.33
Manufacturing,Oceania,Brazil,2001,200.15,952.93,48.41,69.08,45.3,19.46,537.58,10968.96,89.2,86.48,-3.23,-2.07
Mining,Asia,Brazil,2020,64.51,268.96,6.5,167.43,42.49,16.64,1291.79,22854.65,93.06,49.28,-5.8,1.73
Energy,Asia,India,2002,32.51,955.95,81.58,110.39,22.48,13.17,938.8,170.03,44.88,44.07,-4.19,-0.94
Construction,Europe,South Africa,2012,180.8,870.69,26.94,150.62,24.29,10.32,702.75,22880.79,84.34,10.94,9.01,-4.34
Mining,North America,South Africa,2006,259.53,607.25,56.83,145.05,14.59,14.22,292.6,2534.64,52.99,45.06,12.27,6.59
Energy,North America,USA,2001,176.42,758.36,54.2,27.77,16.52,16.03,95.03,11115.26,44.3,62.15,11.02,-1.47
Energy,South America,Australia,2001,133.11,864.96,97.16,146.32,23.92,9.93,1442.87,5492.33,80.83,90.08,4.4,9.93
Energy,South America,Canada,2002,173.67,803.57,25.57,165.28,4.01,14.86,1455.32,16571.44,47.52,85.81,3.14,4.34
Mining,Asia,Germany,2012,140.9,327.04,14.6,7.1,3.99,3.18,819.26,24603.98,34.69,78.38,1.52,7.63
Mining,North America,Brazil,2011,42.99,812.7,25.92,32.56,40.85,7.94,624.98,19429.64,63.12,45.19,-0.13,2.9
Manufacturing,North America,Australia,2000,222.48,313.86,57.69,104.13,18.95,1.22,1225.42,18824.71,71.13,10.47,11.47,8.82
Mining,Africa,Brazil,2017,160.14,867.15,21.83,11.86,48.98,15.35,611.17,11704.24,75.07,4.01,-5.08,-2.33
Mining,Europe,Brazil,2004,120.1,255.84,34.11,73.28,4.45,4.31,651.25,14393.48,50.73,5.56,1.03,-0.72
Mining,Europe,India,2018,168.11,572.47,65.84,167.89,46.86,3.39,1344.66,13358.55,62.99,44.06,12.4,-2.37
Energy,Asia,Brazil,2009,72.75,693.08,11.74,20.3,32.55,8.81,486.84,9195.25,74.18,61.82,-3.87,7.35
Construction,Oceania,Canada,2005,128.67,426.08,94.54,28.07,15.46,10.74,394.68,24213.44,60.85,27.56,12.72,-2.23
Manufacturing,North America,South Africa,2017,186.92,783.08,53.28,23.94,13.38,3.4,1414.96,22083.98,44.13,12.63,4.78,3.95
Construction,Africa,Canada,2014,68.24,925.39,48.41,109.02,47.78,7.32,124.8,22285.05,74.95,49.77,-1.87,4.51
Construction,North America,China,2013,224.82,186.66,36.37,60.89,17.02,11.64,190.45,6514.41,63.2,3.79,-5.12,7.9
Mining,South America,India,2015,156.54,33.93,24.64,163.29,26.36,1.92,721.19,18729.7,81.14,52.51,6.27,-2.31
Manufacturing,Asia,USA,2003,258.58,626.7,48.39,116.48,47.75,6.41,1455.48,13953.2,89.96,28.77,2.76,6.18
Construction,Oceania,China,2018,254.25,602.39,48.68,134.03,10.42,5.3,1361.41,14316.31,99.91,98.28,-3.89,-2.54
Construction,Europe,India,2020,148.61,341.63,5.71,61.58,9.2,14.44,1195.88,4156.56,96.29,23.58,11.89,9.98
Manufacturing,North America,Australia,2007,59.04,785.57,84.75,98.41,10.86,3.4,1017.52,11372.11,77.64,20.13,8.38,8.19
Mining,Oceania,India,2000,221.12,826.23,82.09,74.2,11.86,9.93,856.25,12321.6,66.31,8.01,8.74,-2.32
Construction,Asia,Canada,2019,125.89,332.32,44.84,99.5,35.28,6.61,876.46,17177.03,96.58,56.15,-2.81,5.88
Energy,Europe,Germany,2021,178.59,682.43,33.74,137.68,8.71,14.47,929.76,15042.98,97.23,82.62,10.94,9.05
Construction,North America,China,2021,32.63,642.2,49.94,90.22,2.1,19.26,317.55,6141.0,99.4,64.3,14.23,-3.61
Energy,Africa,China,2012,189.66,342.97,22.22,13.43,36.01,17.31,34.8,1616.86,80.45,81.33,7.11,5.2
Mining,Asia,Canada,2008,112.38,969.16,0.18,74.24,48.18,10.39,363.87,21088.35,90.32,36.56,1.08,8.5
Construction,North America,South Africa,2000,100.59,346.73,35.49,177.72,27.32,17.14,1200.75,15424.41,41.71,45.11,14.05,4.61
Manufacturing,Europe,China,2014,293.98,620.47,1.9,164.66,18.24,14.22,51.07,13980.67,98.49,96.83,5.42,3.63
Manufacturing,Europe,Brazil,2014,130.01,380.44,4.17,166.6,1.64,3.91,1146.47,4608.86,44.83,34.83,12.73,-4.45
Construction,Africa,South Africa,2013,203.57,12.33,3.04,36.3,28.57,13.86,850.84,23834.84,29.4,61.6,-0.34,2.61
Mining,Asia,Australia,2004,188.5,92.09,88.02,15.97,16.46,11.73,913.61,17455.48,70.12,50.4,6.63,8.68
Mining,Asia,Brazil,2016,31.74,232.7,14.45,162.67,32.53,4.16,203.51,16564.49,66.88,14.87,-7.13,8.26
Manufacturing,Oceania,South Africa,2005,224.5,812.26,25.51,133.22,47.79,19.46,860.8,9300.36,30.56,85.75,-2.42,1.06
Construction,North America,USA,2008,97.29,442.34,49.08,101.7,1.22,16.33,86.38,12515.83,28.7,16.67,10.62,1.9
Mining,Oceania,Australia,2019,239.78,588.83,52.98,137.46,34.57,15.4,1193.32,19027.91,55.07,4.5,0.07,0.26
Manufacturing,Europe,South Africa,2018,182.49,943.88,12.29,186.19,33.69,19.55,1163.74,9010.91,91.5,27.12,6.35,8.19
Energy,Europe,USA,2022,95.47,147.45,90.96,25.91,29.7,19.77,1073.38,23677.95,67.33,62.34,-5.49,-0.25
Construction,Africa,South Africa,2020,107.21,861.89,23.19,33.98,36.39,9.58,36.84,9557.95,38.49,87.96,1.16,1.07
Energy,Africa,USA,2016,219.59,379.55,94.26,118.01,18.77,10.17,233.01,8986.57,36.55,25.47,2.53,0.61
Energy,Asia,Brazil,2006,165.24,337.81,25.76,141.39,6.24,17.0,314.9,11647.46,26.23,68.44,-6.86,4.59
Mining,Oceania,Australia,2007,200.67,625.72,0.36,128.75,0.32,12.7,768.07,14503.04,26.24,98.05,0.4,-4.71
Mining,Europe,Australia,2014,47.92,898.69,97.19,50.86,20.06,1.67,1222.09,10279.34,60.56,37.58,3.59,0.27
Mining,North America,South Africa,2005,236.2,348.86,48.42,124.48,40.29,13.85,259.48,4074.16,35.6,77.42,-2.37,9.65
Construction,South America,Germany,2000,96.46,761.53,87.89,112.09,29.58,9.51,769.31,10466.01,40.45,31.02,9.16,-1.67
Energy,North America,South Africa,2008,186.15,19.73,73.46,4.93,7.46,1.28,1264.29,15616.09,79.88,40.05,4.04,-2.6
Construction,Africa,USA,2006,34.85,623.29,17.98,124.51,15.98,18.29,560.65,1713.28,31.61,72.48,-1.16,4.98
Mining,North America,Australia,2021,96.77,630.74,84.54,90.28,33.2,4.74,686.1,22505.92,59.43,84.11,-9.88,0.38
Energy,Europe,India,2019,194.84,556.28,5.2,170.68,46.3,19.05,754.8,13198.46,40.07,15.57,-4.54,0.2
Construction,Oceania,Brazil,2018,82.62,937.85,50.81,131.1,42.95,10.09,1036.42,13777.26,77.39,29.23,-2.59,3.88
Construction,Asia,Germany,2003,264.15,938.62,25.49,109.39,31.65,12.93,487.59,16589.93,78.27,88.51,-9.56,0.59
Manufacturing,Oceania,India,2000,198.54,342.39,36.22,179.11,11.0,5.34,646.2,8230.6,42.26,82.74,-6.5,7.11
Construction,South America,Canada,2008,261.15,456.64,75.73,132.8,43.49,19.72,1121.51,7739.1,74.17,19.31,7.0,6.74
Mining,Asia,India,2001,118.92,792.48,68.37,50.19,46.04,1.03,633.81,6129.18,66.9,44.57,13.23,-1.16
Construction,South America,Brazil,2015,10.68,843.99,44.06,93.57,45.47,17.25,996.15,21290.9,58.0,34.37,-4.36,5.76
Energy,South America,South Africa,2001,173.05,418.26,4.69,134.52,28.35,1.43,412.95,15153.49,65.12,42.92,11.63,1.29
Construction,Europe,China,2002,102.09,349.35,4.09,164.16,43.58,18.15,1368.63,854.33,56.79,56.53,-5.43,-1.08
Manufacturing,Europe,Germany,2013,134.73,820.71,70.25,56.74,39.68,18.18,1205.14,8204.57,61.63,12.31,-3.8,4.07
Energy,Africa,South Africa,2012,204.49,377.18,94.89,145.33,30.99,7.42,1373.59,2322.84,34.65,42.57,-4.74,0.34
Energy,Africa,Brazil,2016,210.35,405.53,84.74,136.59,49.11,12.04,185.92,3501.85,43.37,70.65,-9.62,8.37
Manufacturing,South America,China,2009,8.75,135.96,12.31,29.52,12.29,17.1,782.7,15359.06,84.82,19.95,-5.65,8.83
Mining,Oceania,Canada,2002,230.91,543.18,12.21,30.67,31.24,6.4,144.97,1647.12,31.07,73.02,-7.53,-3.16
Energy,Africa,Brazil,2003,148.31,326.78,61.09,100.39,1.42,2.68,38.41,23354.87,68.9,17.02,12.77,-4.76
Mining,Europe,Brazil,2004,167.23,590.81,65.8,82.29,22.6,18.33,1271.7,18029.64,31.63,92.46,4.25,9.69
Energy,Africa,India,2010,89.75,448.48,61.69,26.8,41.7,1.58,422.3,21878.51,79.18,80.16,14.11,1.63
Energy,South America,Australia,2005,126.54,748.26,88.55,17.62,11.83,2.72,982.51,24864.48,65.86,89.91,6.14,-2.82
Mining,Asia,South Africa,2000,213.26,278.13,23.18,179.54,37.61,3.63,954.74,7123.47,87.36,92.7,2.25,-0.73
Energy,Oceania,Canada,2018,233.13,172.41,17.31,38.39,38.09,12.4,1316.82,18793.88,34.33,27.41,-4.75,-2.04
Mining,Oceania,Brazil,2006,116.44,703.11,91.43,73.58,31.77,6.44,650.25,15097.92,29.72,1.01,-8.06,-0.84
Manufacturing,North America,South Africa,2022,207.49,384.44,72.24,93.28,44.68,11.19,1474.25,23642.5,90.08,78.88,-1.46,7.5
Mining,Africa,China,2009,77.78,563.82,71.2,16.7,22.52,15.61,585.03,18032.06,95.49,44.09,-7.9,0.29
Manufacturing,Oceania,India,2011,249.69,941.1,33.6,27.72,10.52,12.12,1405.97,13555.26,67.78,90.8,11.98,-0.69
Energy,Europe,China,2011,183.14,484.35,62.82,105.13,32.61,18.22,1491.0,1036.96,93.82,15.2,9.14,-0.58
Mining,Asia,China,2000,232.67,152.82,72.7,139.91,47.44,2.1,53.72,8697.34,35.61,81.16,8.57,1.46
Energy,Europe,India,2008,143.41,426.99,60.07,168.91,31.54,18.51,723.96,5893.99,90.33,72.83,10.84,0.4
Mining,Africa,South Africa,2016,69.12,478.79,73.65,172.52,43.94,9.77,332.15,4521.31,90.36,60.98,3.29,-0.98
Manufacturing,South America,China,2022,129.05,766.1,59.05,109.05,43.31,1.24,724.16,10269.65,77.37,31.07,0.6,5.05
Manufacturing,North America,USA,2011,114.75,195.59,98.2,57.43,0.4,17.79,1048.24,12736.39,96.33,88.36,13.42,-3.45
Mining,North America,South Africa,2001,100.15,347.23,49.25,115.95,3.96,2.37,56.28,10556.0,65.2,97.14,13.79,6.68
Manufacturing,Asia,Australia,2008,64.05,50.5,1.35,124.64,27.66,13.46,1202.29,6881.24,52.39,64.12,-5.54,1.82
Energy,Oceania,Australia,2011,227.87,702.13,16.42,57.45,42.79,5.74,229.49,17426.77,53.6,10.61,-3.61,-3.29
Energy,Oceania,Brazil,2003,26.36,744.06,96.42,133.48,19.24,2.19,700.76,7529.14,36.62,49.66,2.97,5.62
Construction,Oceania,India,2021,266.32,457.46,47.01,34.92,44.46,16.88,717.85,12837.88,86.93,29.85,10.65,3.03
Manufacturing,North America,Australia,2011,52.92,538.5,12.14,59.23,17.67,8.6,798.96,20667.29,63.0,22.54,8.86,-3.44
